RyanairAirportsController constructor - Started
(42%) GSE(-115204.0,-574606.0:0.0)
(42%) RHO(-280510.0,-362420.0:0.0)
(42%) PDL(-254055.0,-374450.0:0.0)
(43%) TLS(-12154.0,-433749.0:0.0)
(43%) AGA(-92434.0,-301952.0:0.0)
(43%) TLV(-345257.0,-320044.0:0.0)
(44%) PUF(-2507.0,-432248.0:0.0)
(44%) OSD(-142940.0,-631155.0:0.0)
(44%) RYG(-104708.0,-592244.0:0.0)
(45%) AGH(-125145.0,-561735.0:0.0)
(45%) PDV(-245103.0,-420404.0:0.0)
(45%) OSI(-184834.0,-452749.0:0.0)
(46%) BIO(-25518.0,-431810.0:0.0)
(46%) OSL(-110500.0,-601200.0:0.0)
(46%) AGP(-42953.0,-364018.0:0.0)
(47%) BIQ(-13122.0,-432811.0:0.0)
(47%) AXD(-255723.0,-405121.0:0.0)
(47%) HUY(-2100.0,-533500.0:0.0)
(48%) BZG(-175843.0,-530548.0:0.0)
(48%) PED(-154419.0,-500048.0:0.0)
(48%) SKG(-225815.0,-403111.0:0.0)
(49%) OSR(-180656.0,-494148.0:0.0)
(49%) OST(-25149.0,-511159.0:0.0)
(49%) PEG(-123037.0,-430550.0:0.0)
(50%) FRA(-83414.0,-500220.0:0.0)
(50%) HER(-251049.0,-352023.0:0.0)
(50%) FAO(-75815.0,-370052.0:0.0)
(50%) PUY(-135525.0,-445330.0:0.0)
(51%) TMP(-233712.0,-612504.0:0.0)
(51%) NQY(-45943.0,-502626.0:0.0)
(51%) BZR(-32116.0,-431927.0:0.0)
(52%) NAP(-141727.0,-405304.0:0.0)
(52%) RZE(-220100.0,-500700.0:0.0)
(52%) CLJ(-234100.0,-464700.0:0.0)
(53%) RIX(-235820.0,-565530.0:0.0)
(53%) FRL(-120411.0,-441144.0:0.0)
(53%) NRK(-161500.0,-583500.0:0.0)
(54%) VAR(-274930.0,-431355.0:0.0)
(54%) AHO(-81719.0,-403752.0:0.0)
(54%) MPL(-35803.0,-433451.0:0.0)
(55%) DNR(-20501.0,-483516.0:0.0)
(55%) OTP(-260600.0,-443400.0:0.0)
(55%) NRN(-60900.0,-513620.0:0.0)
(56%) TNG(-55500.0,-354300.0:0.0)
(56%) BJV(-274100.0,-371500.0:0.0)
(56%) GDN(-182803.0,-542241.0:0.0)
(57%) KLR(-161714.0,-564106.0:0.0)
(57%) RJK(-143406.0,-451257.0:0.0)
(57%) TNL(-253600.0,-493400.0:0.0)
(58%) VRN(-105317.0,-452347.0:0.0)
(58%) KLU(-142030.0,-463835.0:0.0)
(58%) KLX(-220132.0,-370406.0:0.0)
(59%) FSC(-90600.0,-413000.0:0.0)
(59%) PFO(-322909.0,-344305.0:0.0)
(59%) LNZ(-141115.0,-481400.0:0.0)
(60%) AYT(-304726.0,-365420.0:0.0)
(60%) ODS(-304100.0,-462600.0:0.0)
(60%) OUD(-15600.0,-344700.0:0.0)
(61%) DOL(-951.0,-492146.0:0.0)
(61%) VBS(-101950.0,-452544.0:0.0)
(61%) JKG(-140419.0,-574531.0:0.0)
(62%) PGF(-25218.0,-424427.0:0.0)
(62%) MAD(-33348.0,-402820.0:0.0)
(62%) NCE(-71303.0,-433950.0:0.0)
(63%) FCO(-121420.0,-414801.0:0.0)
(63%) MAH(-41255.0,-395141.0:0.0)
(63%) NCL(-14112.0,-550216.0:0.0)
(64%) VST(-163750.0,-593521.0:0.0)
(64%) CND(-282900.0,-442100.0:0.0)
(64%) ERF(-105729.0,-505847.0:0.0)
(64%) VCE(-122107.0,-453019.0:0.0)
(65%) MAN(-21636.0,-532112.0:0.0)
(65%) LPA(-152312.0,-275555.0:0.0)
(65%) OVD(-60200.0,-433400.0:0.0)
(66%) NTE(-13635.0,-470930.0:0.0)
(66%) BLK(-30210.0,-534619.0:0.0)
(66%) BLL(-90900.0,-554418.0:0.0)
(67%) BLQ(-111749.0,-443151.0:0.0)
(67%) LPL(-25200.0,-532018.0:0.0)
(67%) FDH(-93045.0,-474002.0:0.0)
(68%) EBJ(-83309.0,-553135.0:0.0)
(68%) RLG(-121642.0,-535505.0:0.0)
(68%) LPP(-280924.0,-610246.0:0.0)
(69%) HHN(-71600.0,-495700.0:0.0)
(69%) MRS(-51259.0,-432608.0:0.0)
(69%) SNN(-85529.0,-524207.0:0.0)
(70%) VDA(-345650.0,-295600.0:0.0)
(70%) TPS(-122936.0,-375443.0:0.0)
(70%) FUE(-135149.0,-282709.0:0.0)
(71%) EBU(-41749.0,-453229.0:0.0)
(71%) NDR(-30140.0,-345921.0:0.0)
(71%) NUE(-110401.0,-492955.0:0.0)
(72%) MBX(-153900.0,-463300.0:0.0)
(72%) ESU(-94117.0,-312411.0:0.0)
(72%) SOB(-170933.0,-464110.0:0.0)
(73%) JMK(-252053.0,-372606.0:0.0)
(73%) SOF(-232430.0,-424142.0:0.0)
(73%) MST(-54625.0,-505440.0:0.0)
(74%) RMI(-123634.0,-440110.0:0.0)
(74%) PIK(-43432.0,-553011.0:0.0)
(74%) ALC(-3400.0,-381700.0:0.0)
(75%) CPH(-123800.0,-553629.0:0.0)
(75%) FEZ(-45800.0,-335600.0:0.0)
(75%) PIS(-1823.0,-463510.0:0.0)
(76%) RMU(-10825.0,-374736.0:0.0)
(76%) ETM(-350228.0,-294332.0:0.0)
(76%) ILD(-3207.0,-414341.0:0.0)
(77%) LRH(-11109.0,-461050.0:0.0)
(77%) DRS(-134600.0,-510800.0:0.0)
(77%) TRF(-101600.0,-591100.0:0.0)
(78%) LBA(-13917.0,-535155.0:0.0)
(78%) EDI(-32101.0,-555655.0:0.0)
(78%) LBC(-104309.0,-534819.0:0.0)
(79%) BNX(-171800.0,-445600.0:0.0)
(79%) LRT(-32621.0,-474540.0:0.0)
(79%) LBG(-22633.0,-485819.0:0.0)
(79%) TRN(-73858.0,-451209.0:0.0)
(80%) DSA(-10014.0,-532831.0:0.0)
(80%) TRS(-132820.0,-454939.0:0.0)
(80%) BOD(-4252.0,-444946.0:0.0)
(81%) RNS(-14353.0,-480407.0:0.0)
(81%) DBV(-181555.0,-423348.0:0.0)
(81%) SPU(-161732.0,-433130.0:0.0)
(82%) BOH(-15013.0,-504650.0:0.0)
(82%) MUC(-114710.0,-482114.0:0.0)
(82%) BOJ(-273055.0,-423411.0:0.0)
(83%) CQM(-35933.0,-385137.0:0.0)
(83%) AMM(-360000.0,-314300.0:0.0)
(83%) NWI(-11700.0,-524100.0:0.0)
(84%) TBS(-445700.0,-414000.0:0.0)
(84%) TSF(-121152.0,-453903.0:0.0)
(84%) AMS(-44605.0,-521830.0:0.0)
(85%) CAG(-90322.0,-391450.0:0.0)
(85%) LCA(-333729.0,-345230.0:0.0)
(85%) LCJ(-192354.0,-514319.0:0.0)
(86%) TSR(-212000.0,-454900.0:0.0)
(86%) CRA(-235311.0,-441908.0:0.0)
(86%) ANG(-1300.0,-454400.0:0.0)
(87%) CRL(-42714.0,-502733.0:0.0)
(87%) DTM(-73600.0,-513100.0:0.0)
(87%) VGO(-83740.0,-421335.0:0.0)
(88%) INI(-215106.0,-432002.0:0.0)
(88%) KRK(-194700.0,-500500.0:0.0)
(88%) CRV(-170445.0,-385948.0:0.0)
(89%) LTN(-2106.0,-515300.0:0.0)
(89%) INN(-112038.0,-471537.0:0.0)
(89%) EFL(-203002.0,-380712.0:0.0)
(90%) LDE(-13.0,-431055.0:0.0)
(90%) VXO(-144400.0,-565600.0:0.0)
(90%) OZZ(-65500.0,-305500.0:0.0)
(91%) DUB(-61612.0,-532517.0:0.0)
(91%) INV(-40254.0,-573233.0:0.0)
(91%) PLQ(-210500.0,-555700.0:0.0)
(92%) TTU(-51900.0,-353500.0:0.0)
(92%) AOC(-122700.0,-505900.0:0.0)
(92%) KBP(-305500.0,-502100.0:0.0)
(93%) KSC(-211500.0,-484000.0:0.0)
(93%) AOI(-132137.0,-433700.0:0.0)
(93%) KSD(-132029.0,-592649.0:0.0)
(93%) CSO(-112505.0,-515121.0:0.0)
(94%) EGC(-2900.0,-445100.0:0.0)
(94%) LDY(-70912.0,-550236.0:0.0)
(94%) DUS(-64510.0,-511652.0:0.0)
(95%) TUF(-4339.0,-472542.0:0.0)
(95%) NYO(-165525.0,-584706.0:0.0)
(95%) CCF(-21900.0,-431300.0:0.0)
(96%) PMF(-101743.0,-444920.0:0.0)
(96%) PMI(-24420.0,-393306.0:0.0)
(96%) LUX(-61224.0,-493740.0:0.0)
(97%) LEJ(-121430.0,-512557.0:0.0)
(97%) LUZ(-224248.0,-511419.0:0.0)
(97%) CTA(-150350.0,-372800.0:0.0)
(98%) LEI(-22220.0,-365040.0:0.0)
(98%) PMO(-130558.0,-381055.0:0.0)
(98%) VIE(-163330.0,-480640.0:0.0)
(99%) BRE(-84724.0,-530248.0:0.0)
(99%) BRI(-164554.0,-410817.0:0.0)
(99%) ZAD(-152124.0,-440552.0:0.0)
(100%) GLA(-42600.0,-555200.0:0.0)
(100%) RAK(-80218.0,-313630.0:0.0)
Airports: 307
RyanairAirportsController constructor - Finished

